project_name,project_id,year,title,category,phases,program,country,city,street,number,number_range,canton/region,zip-code,gps_latitude,gps_longitude,cad_num,client,building_costs,currency,depth,subphase
073.019_urbaniz3r,73,2019,urbaniz3r,installation,2,city vision,,,,,,,,46.0118236898285,8.96140031366228,,,,,1(2),software project
074.019_fondazionehenraux.querceta.lucca,74,2019,fondazionehenraux.querceta.lucca,activity,2,stone quarry,Italy,Lucca,,,,,,43.9802520907905,10.19950267804900,,,,,1(2),event
075.019_geoz.stadt.zürich,75,2019,geoz.stadt.zürich,activity,3,presentation,Switzerland,Zurich,,,,,,47.3703355764235,8.52861801720247,,,,,1(3),event
076.020_feldweg.termen,76,2020,feldweg.termen,transformation,2,housing,Switzerland,Termen,Feldweg,47,,Wallis,3912,46.3242233256103,8.02226168791757,,,,,1(2),preliminary project
077.020_rindermarkt.zürich,77,2020,rindermarkt.zürich,transformation,2,housing,Switzerland,Zurich,Rindermarkt,6,,Zurich,8001,47.3723953719675,8.54434630737667,,private,"1,500,000",CHF,3,preliminary project
078.020_badenerstrasse.zürich,78,2020,badenerstrasse.zürich,transformation,2,housing,Switzerland,Zurich,Badenerstrasse,271,,Zurich,8003,47.3761177977871,8.51511422221207,,private,"2,300,000",CHF,3,preliminary project
079.020_borsaimmobiliare.lugano,79,2020,borsaimmobiliare.lugano,activity,3,presentation,Switzerland,Lugano,,,,,,45.9811504334442,8.92909221419450,,,,,1(3),event
080.020_uitikonerstrasse.schlieren,80,2020,uitikonerstrasse.schlieren,transformation,3,meeting room,Switzerland,Schlieren,Uitikonerstrasse,29,,Zurich,8952,47.3952299611951,8.44854877113616,,private,"250,000",CHF,3,built
081.020_mna.abenteuerreisen.wallis,81,2020,mna.abenteuerreisen.wallis,activity,2,travel,Switzerland,,,,,,,46.3150589064978,7.99046840133695,,,,,2,event
082.020_kronenareal.hedingen,82,2020,kronenareal.hedingen,urban planning,2,housing,Switzerland,Hedingen,Zürcherstrasse,,,Zurich,8908,47.3000210764568,8.44880632761896,,private,"15,000,000",CHF,3,construction project
083.021_brixel.italia,83,2021,brixel.italia,activity,2,selling model,Italy,,,,,,,47.3810643021771,8.51674441027706,,,,,1(2),spin off
084.021_codelounge.zone,84,2021,codelounge.zone,installation,2,evaluation model,,,,,,,,46.0118236898285,8.96140031366228,,,,,1(2),software project
085.021_rümlangerstrasse.watt,85,2021,rümlangerstrasse.watt,single building,2,housing,Switzerland,Regensdorf-Watt,Rümlangerstrasse,15,,Zurich,8105,47.4430069203436,8.48257407112739,,private,"3,500,000",CHF,3,construction project
086.021_sulzerallee.winterthur,86,2021,sulzerallee.winterthur,urban planning,2,mixed use,Switzerland,Winterthur,Sulzerallee,,,Zurich,8404,47.5023313003943,8.76230393799206,,private,"26,000,000",CHF,3,competition
087.022_herrligstrasse.zürich,87,2022,herrligstrasse.zürich,single building,2,housing,Switzerland,Zurich,Herrligstrasse,,11-13,Zurich,8048,47.3907472004517,8.48615340771565,,,,,2,preliminary project
088.022_dorfplatz.termen,88,2022,dorfplatz.termen,single building,2,housing,Switzerland,Termen,Dorfplatz,3,,Wallis,3912,46.3280119323554,8.02205109163726,,,,,1(2),preliminary project
089.023_viacapeter.zignau,89,2023,viacapeter.zignau,single building,2,housing,Switzerland,Zignau,Via Capeter,19,,Grisons,7167,46.7411372014193,9.00679967908336,,,,,2,construction project
090.023_rautistrasse.zürich,90,2023,rautistrasse.zürich,single building,2,housing,Switzerland,Zurich,Rautistrasse,116,,Zurich,8048,47.3834832770150,8.48516259812487,,,,,1(3),construction project
091.023_micasgarten.zürich,91,2023,micasgarten.zürich,installation,3,gastronomy,Switzerland,Zurich,Badenerstrasse,790,,Zurich,8003,47.3929729297981,8.47595316515591,,,,,1(2),built
092.023_otelfingerstrasse.wettingen,92,2023,otelfingerstrasse.wettingen,urban planning,2,mixed use,Switzerland,Wettingen,Otelfingerstrasse,,15-19,Aargau,5430,47.4596527889551,8.34292775786061,,,,,1(3),preliminary project
